FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJECT_ANTICHAIN,PAIR_DELETE_ANTICHAIN,PAIR_INGNORE_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,175,DifferenceTarjan+TreeSet+lazyS+BA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyS+GBA,28,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyB+BA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,172,DifferenceTarjan+TreeSet+lazyB+GBA,32,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,172,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,39,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,72,DifferenceTarjan+TreeSet+BA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+GBA,24,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,72,DifferenceTarjan+TreeSet+lazyS+BA,31,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+lazyS+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+lazyB+BA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,69,DifferenceTarjan+TreeSet+lazyB+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,69,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,117,DifferenceTarjan+TreeSet+BA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,117,DifferenceTarjan+TreeSet+lazyS+BA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+lazyS+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+lazyB+BA,24,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,114,DifferenceTarjan+TreeSet+lazyB+GBA,30,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,114,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,175,DifferenceTarjan+TreeSet+BA,30,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,175,DifferenceTarjan+TreeSet+lazyS+BA,31,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyS+GBA,28,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyB+BA,26,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,172,DifferenceTarjan+TreeSet+lazyB+GBA,26,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,172,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,25,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,72,DifferenceTarjan+TreeSet+BA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,72,DifferenceTarjan+TreeSet+lazyS+BA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+lazyS+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+lazyB+BA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,69,DifferenceTarjan+TreeSet+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,0,0,0,0,0,69,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,117,DifferenceTarjan+TreeSet+BA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,117,DifferenceTarjan+TreeSet+lazyS+BA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+lazyS+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+lazyB+BA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,114,DifferenceTarjan+TreeSet+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,0,0,0,0,0,114,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,24,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,175,DifferenceTarjan+TreeSet+BA,31,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+GBA,30,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,175,DifferenceTarjan+TreeSet+lazyS+BA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyS+GBA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyB+BA,26,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,172,DifferenceTarjan+TreeSet+lazyB+GBA,28,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,173,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,28,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,0,0,0,0,0,172,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15684,DifferenceTarjan+TreeSet+BA,678,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15684,DifferenceTarjan+TreeSet+GBA,600,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,947,DifferenceTarjan+TreeSet+lazyS+BA,97,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,947,DifferenceTarjan+TreeSet+lazyS+GBA,98,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15763,DifferenceTarjan+TreeSet+lazyB+BA,672,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15763,DifferenceTarjan+TreeSet+lazyB+GBA,725,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,156,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,107,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15684,DifferenceTarjan+TreeSet+BA,865,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15684,DifferenceTarjan+TreeSet+GBA,692,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,947,DifferenceTarjan+TreeSet+lazyS+BA,99,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,947,DifferenceTarjan+TreeSet+lazyS+GBA,113,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15763,DifferenceTarjan+TreeSet+lazyB+BA,760,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15763,DifferenceTarjan+TreeSet+lazyB+GBA,775,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,151,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,159,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15684,DifferenceTarjan+TreeSet+BA,996,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15684,DifferenceTarjan+TreeSet+GBA,729,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,947,DifferenceTarjan+TreeSet+lazyS+BA,123,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,947,DifferenceTarjan+TreeSet+lazyS+GBA,102,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15763,DifferenceTarjan+TreeSet+lazyB+BA,929,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,15763,DifferenceTarjan+TreeSet+lazyB+GBA,708,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,108,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,27,114,29,387,30,0,0,0,0,0,1034,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,107,false
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,86,DifferenceTarjan+TreeSet+BA,33,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+GBA,29,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,86,DifferenceTarjan+TreeSet+lazyS+BA,35,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyS+GBA,34,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyB+BA,32,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,83,DifferenceTarjan+TreeSet+lazyB+GBA,32,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,42,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,83,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,40,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,86,DifferenceTarjan+TreeSet+BA,41,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+GBA,41,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,86,DifferenceTarjan+TreeSet+lazyS+BA,27,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyS+GBA,32,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyB+BA,31,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,83,DifferenceTarjan+TreeSet+lazyB+GBA,32,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,27,true
a.06-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,83,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,26,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,86,DifferenceTarjan+TreeSet+BA,28,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+GBA,27,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,86,DifferenceTarjan+TreeSet+lazyS+BA,32,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyS+GBA,29,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyB+BA,27,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,83,DifferenceTarjan+TreeSet+lazyB+GBA,40,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,27,true
a.06-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration6.ats,false,false,45,11,48,46,56,0,0,0,0,0,83,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,26,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,0,0,0,0,0,38,DifferenceTarjan+TreeSet+BA,27,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+GBA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,0,0,0,0,0,38,DifferenceTarjan+TreeSet+lazyS+BA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyS+GBA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyB+BA,23,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,0,0,0,0,0,35,DifferenceTarjan+TreeSet+lazyB+GBA,24,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,23,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,0,0,0,0,0,35,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,0,0,0,0,0,37,DifferenceTarjan+TreeSet+BA,29,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+GBA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,0,0,0,0,0,37,DifferenceTarjan+TreeSet+lazyS+BA,30,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyS+GBA,22,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,0,0,0,0,0,37,DifferenceTarjan+TreeSet+lazyB+BA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyB+GBA,19,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,0,0,0,0,0,37,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,30,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,0,0,0,0,0,38,DifferenceTarjan+TreeSet+BA,24,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+GBA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,0,0,0,0,0,38,DifferenceTarjan+TreeSet+lazyS+BA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyS+GBA,20,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyB+BA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,0,0,0,0,0,35,DifferenceTarjan+TreeSet+lazyB+GBA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,0,0,0,0,0,36,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,0,0,0,0,0,35,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,30,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,0,0,0,0,0,2075,DifferenceTarjan+TreeSet+BA,104,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,0,0,0,0,0,2074,DifferenceTarjan+TreeSet+GBA,128,true
